S-23C Kaldi 7 17.1428571429 S:10, I:0, D:2
S-23C Kaldi 8 29.7619047619 S:15, I:3, D:7
S-23C Kaldi 9 30.4347826087 S:5, I:2, D:0
S-23C Kaldi 10 30.4347826087 S:13, I:0, D:1
S-23C Kaldi 11 20.2797202797 S:20, I:0, D:9
S-23C Google 0 29.9363057325 S:25, I:1, D:21
S-23C Google 1 43.8775510204 S:46, I:1, D:39
S-23C Google 2 40.350877193 S:36, I:8, D:25
S-23C Google 3 56.8075117371 S:67, I:1, D:53
S-23C Google 4 44.2307692308 S:91, I:1, D:115
S-23C Google 5 35.0515463918 S:33, I:1, D:68
S-23C Google 6 35.0 S:3, I:0, D:11
S-23C Google 7 32.8571428571 S:14, I:0, D:9
S-23C Google 8 35.7142857143 S:14, I:1, D:15
S-23C Google 9 34.7826086957 S:6, I:0, D:2
S-23C Google 10 65.2173913043 S:13, I:0, D:17
S-23C Google 11 43.3566433566 S:32, I:1, D:29
S-6B Kaldi 0 44.1176470588 S:40, I:6, D:14
S-6B Kaldi 1 31.1224489796 S:38, I:9, D:14
S-6B Kaldi 2 15.7142857143 S:26, I:4, D:14
S-6B Kaldi 3 24.6073298429 S:28, I:8, D:11
S-6B Kaldi 4 29.3689320388 S:99, I:10, D:12
S-6B Kaldi 5 24.6315789474 S:101, I:6, D:10
S-6B Google 0 53.6764705882 S:39, I:1, D:33
S-6B Google 1 40.306122449 S:45, I:1, D:33
S-6B Google 2 29.6428571429 S:47, I:1, D:35
S-6B Google 3 39.7905759162 S:40, I:1, D:35
S-6B Google 4 38.1067961165 S:115, I:3, D:39
S-6B Google 5 39.1578947368 S:125, I:6, D:55
S-5A Kaldi 0 40.0943396226 S:109, I:28, D:33
S-5A Kaldi 1 31.1320754717 S:38, I:12, D:16
S-5A Kaldi 2 31.0975609756 S:126, I:24, D:54
S-5A Kaldi 3 28.8629737609 S:66, I:7, D:26
S-5A Kaldi 4 26.4331210191 S:55, I:7, D:21
S-5A Kaldi 5 29.7008547009 S:86, I:11, D:42
S-5A Google 0 52.1226415094 S:112, I:1, D:108
S-5A Google 1 45.7547169811 S:45, I:1, D:51
S-5A Google 2 43.1402439024 S:137, I:8, D:138
S-5A Google 3 43.1486880466 S:65, I:1, D:82
S-5A Google 4 41.4012738854 S:57, I:1, D:72
S-5A Google 5 46.1538461538 S:111, I:1, D:104
S-11C Kaldi 0 16.0427807487 S:20, I:6, D:4
S-11C Kaldi 1 21.6783216783 S:17, I:8, D:6
S-11C Kaldi 2 16.8508287293 S:35, I:7, D:19
S-11C Kaldi 3 18.2767624021 S:37, I:6, D:27
S-11C Kaldi 4 9.25266903915 S:28, I:3, D:21
S-11C Kaldi 5 10.3921568627 S:28, I:7, D:18
S-11C Kaldi 6 17.3913043478 S:19, I:5, D:12
S-11C Kaldi 7 11.1553784861 S:16, I:1, D:11
S-11C Kaldi 8 17.6470588235 S:10, I:5, D:3
S-11C Google 0 24.5989304813 S:19, I:1, D:26
S-11C Google 1 36.3636363636 S:17, I:0, D:35
S-11C Google 2 24.3093922652 S:54, I:0, D:34
S-11C Google 3 25.0652741514 S:37, I:0, D:59
S-11C Google 4 21.7081850534 S:73, I:1, D:48
S-11C Google 5 21.1764705882 S:55, I:2, D:51
S-11C Google 6 26.5700483092 S:28, I:1, D:26
S-11C Google 7 24.7011952191 S:36, I:1, D:25
S-11C Google 8 25.4901960784 S:11, I:1, D:14
S-16D Kaldi 0 18.9003436426 S:39, I:8, D:8
S-16D Kaldi 1 16.3561076605 S:43, I:11, D:25
S-16D Kaldi 2 21.1678832117 S:33, I:16, D:9
S-16D Kaldi 3 14.6496815287 S:33, I:21, D:15
S-16D Kaldi 4 15.9029649596 S:31, I:16, D:12
S-16D Kaldi 5 21.7228464419 S:30, I:25, D:3
S-16D Kaldi 6 31.1320754717 S:13, I:12, D:8
S-16D Kaldi 7 34.0425531915 S:6, I:10, D:0
S-16D Kaldi 8 19.6721311475 S:6, I:11, D:7
S-16D Kaldi 9 31.8181818182 S:4, I:3, D:0
S-16D Kaldi 10 27.027027027 S:5, I:4, D:1
S-16D Kaldi 11 23.6111111111 S:4, I:12, D:1
S-16D Kaldi 12 25.641025641 S:3, I:7, D:0
S-16D Google 0 21.9931271478 S:43, I:2, D:19
S-16D Google 1 18.8405797101 S:45, I:1, D:45
S-16D Google 2 21.1678832117 S:26, I:2, D:30
S-16D Google 3 18.0467091295 S:45, I:2, D:38
S-16D Google 4 19.1374663073 S:36, I:2, D:33
S-16D Google 5 16.1048689139 S:27, I:1, D:15
S-16D Google 6 33.0188679245 S:15, I:0, D:20
S-16D Google 7 19.1489361702 S:6, I:1, D:2
S-16D Google 8 21.3114754098 S:13, I:1, D:12
S-16D Google 9 27.2727272727 S:2, I:0, D:4
S-16D Google 10 29.7297297297 S:7, I:1, D:3
S-16D Google 11 15.2777777778 S:4, I:0, D:7
S-16D Google 12 15.3846153846 S:2, I:0, D:4
S-20D Kaldi 0 38.7096774194 S:53, I:10, D:33
S-20D Kaldi 1 25.6666666667 S:43, I:6, D:28
S-20D Kaldi 2 30.4347826087 S:60, I:4, D:27
S-20D Kaldi 3 37.3873873874 S:53, I:0, D:30
S-20D Kaldi 4 27.8481012658 S:134, I:25, D:39
S-20D Kaldi 5 27.25 S:62, I:15, D:32
S-20D Kaldi 6 100.0 S:12, I:9, D:1
S-20D Kaldi 7 66.6666666667 S:16, I:8, D:2
S-20D Kaldi 8 31.5789473684 S:3, I:0, D:3
S-20D Kaldi 9 56.1643835616 S:22, I:12, D:7
S-20D Kaldi 10 50.5494505495 S:26, I:13, D:7
S-20D Kaldi 11 39.7058823529 S:19, I:4, D:4
S-20D Google 0 49.1935483871 S:57, I:0, D:65
S-20D Google 1 40.0 S:68, I:3, D:49
S-20D Google 2 45.4849498328 S:57, I:0, D:79
S-20D Google 3 40.5405405405 S:47, I:1, D:42
S-20D Google 4 35.1617440225 S:136, I:10, D:104
S-20D Google 5 38.75 S:67, I:7, D:81
S-20D Google 6 68.1818181818 S:4, I:0, D:11
S-20D Google 7 74.358974359 S:14, I:3, D:12
S-20D Google 8 47.3684210526 S:6, I:0, D:3
S-20D Google 9 47.9452054795 S:18, I:5, D:12
S-20D Google 10 47.2527472527 S:32, I:0, D:11
S-20D Google 11 51.4705882353 S:25, I:2, D:8
S-29A Kaldi 0 13.3620689655 S:20, I:4, D:7
S-29A Kaldi 1 14.7727272727 S:25, I:2, D:12
S-29A Kaldi 2 11.1940298507 S:21, I:1, D:8
S-29A Kaldi 3 11.0344827586 S:23, I:2, D:7
S-29A Kaldi 4 11.0878661088 S:28, I:11, D:14
S-29A Kaldi 5 10.546875 S:15, I:3, D:9
S-29A Kaldi 6 10.3448275862 S:1, I:2, D:0
S-29A Kaldi 7 16.2162162162 S:10, I:2, D:0
S-29A Kaldi 8 13.8888888889 S:6, I:2, D:2
S-29A Kaldi 9 8.57142857143 S:1, I:0, D:2
S-29A Kaldi 10 8.47457627119 S:5, I:0, D:0
S-29A Kaldi 11 30.4347826087 S:9, I:0, D:5
S-29A Google 0 27.1551724138 S:25, I:1, D:37
S-29A Google 1 24.6212121212 S:26, I:1, D:38
S-29A Google 2 35.0746268657 S:18, I:0, D:76
S-29A Google 3 25.5172413793 S:32, I:0, D:42
S-29A Google 4 26.7782426778 S:40, I:6, D:82
S-29A Google 5 23.046875 S:22, I:2, D:35
S-29A Google 6 17.2413793103 S:0, I:0, D:5
S-29A Google 7 18.9189189189 S:6, I:0, D:8
S-29A Google 8 18.0555555556 S:4, I:0, D:9
S-29A Google 9 45.7142857143 S:4, I:2, D:10
S-29A Google 10 22.0338983051 S:7, I:1, D:5
S-29A Google 11 19.5652173913 S:2, I:0, D:7
S-14B Kaldi 0 32.8173374613 S:61, I:19, D:26
S-14B Kaldi 1 29.8192771084 S:45, I:13, D:41
S-14B Kaldi 2 26.0450160772 S:49, I:10, D:22
S-14B Kaldi 3 44.094488189 S:35, I:11, D:10
S-14B Kaldi 4 25.5813953488 S:42, I:12, D:23
S-14B Kaldi 5 20.316027088 S:52, I:16, D:22
S-14B Kaldi 6 26.9841269841 S:7, I:4, D:6
S-14B Kaldi 7 27.8481012658 S:14, I:6, D:2
S-14B Kaldi 8 27.5862068966 S:2, I:1, D:5
S-14B Google 0 42.1052631579 S:68, I:1, D:67
S-14B Google 1 39.7590361446 S:64, I:1, D:67
S-14B Google 2 36.9774919614 S:56, I:5, D:54
S-14B Google 3 51.968503937 S:40, I:0, D:26
S-14B Google 4 41.8604651163 S:63, I:2, D:61
S-14B Google 5 31.6027088036 S:69, I:6, D:65
S-14B Google 6 38.0952380952 S:7, I:0, D:17
S-14B Google 7 21.5189873418 S:5, I:1, D:11
S-14B Google 8 31.0344827586 S:2, I:0, D:7
S-32D Kaldi 0 37.3333333333 S:42, I:25, D:17
S-32D Kaldi 1 20.4778156997 S:37, I:4, D:19
S-32D Kaldi 2 34.4827586207 S:42, I:9, D:29
S-32D Kaldi 3 16.9811320755 S:24, I:7, D:14
S-32D Kaldi 4 21.6417910448 S:32, I:6, D:20
S-32D Kaldi 5 16.5853658537 S:21, I:5, D:8
S-32D Kaldi 6 27.9411764706 S:6, I:0, D:13
S-32D Kaldi 7 26.9230769231 S:10, I:0, D:18
S-32D Kaldi 8 17.8571428571 S:1, I:2, D:2
S-32D Kaldi 9 26.2820512821 S:24, I:1, D:16
S-32D Kaldi 10 30.7692307692 S:2, I:1, D:1
S-32D Kaldi 11 26.7857142857 S:3, I:8, D:4
S-32D Google 0 48.4444444444 S:45, I:12, D:52
S-32D Google 1 35.4948805461 S:36, I:0, D:68
S-32D Google 2 44.8275862069 S:41, I:0, D:63
S-32D Google 3 39.6226415094 S:26, I:0, D:79
S-32D Google 4 54.4776119403 S:34, I:0, D:112
S-32D Google 5 32.6829268293 S:21, I:3, D:43
S-32D Google 6 54.4117647059 S:10, I:0, D:27
S-32D Google 7 49.0384615385 S:18, I:0, D:33
S-32D Google 8 35.7142857143 S:4, I:0, D:6
S-32D Google 9 34.6153846154 S:25, I:1, D:28
S-32D Google 10 76.9230769231 S:2, I:1, D:7
S-32D Google 11 50.0 S:8, I:10, D:10
S-22B Kaldi 0 23.8317757009 S:31, I:4, D:16
S-22B Kaldi 1 21.7391304348 S:37, I:6, D:7
S-22B Kaldi 2 21.7770034843 S:81, I:17, D:27
S-22B Kaldi 3 16.5991902834 S:21, I:6, D:14
S-22B Kaldi 4 22.619047619 S:42, I:2, D:32
S-22B Kaldi 5 17.9836512262 S:44, I:8, D:14
S-22B Kaldi 6 27.2727272727 S:4, I:0, D:5
S-22B Kaldi 7 17.2839506173 S:19, I:1, D:8
